"Belegnummer","Datum","Betrag","MwSt. Schlüssel","Soll","Haben","Nutzerdetails","Systemdetails"
"143","2018-03-03","-38,00","9","5400","1600","Diesel","5400 Wareneingang 19% Vorsteuer [EUR 31,93], 1406 [EUR 6,07] <-- 1600 Kasse [EUR 38,00]"
"0","2018-03-05","-40,22","9","5906","1800","Festnetz und Internet, Lehrter Str. 8 / Telekom","5906 Fremdleistungen 19% Vorsteuer [EUR 33,80], 1406 [EUR 6,42] <-- 1800 Bank [EUR 40,22]"
"0","2018-03-05","-25,00","0","6550","1800","DEGEWO Abstellplatz Taxi B-E4305","6550 Garagenmiete [EUR 25,00] <-- 1800 Bank [EUR 25,00]"
"0","2018-03-05","+510,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 510,00] <-- 1460 Geldtransit [EUR 510,00]"
"0","2018-03-05","+60,97","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 60,97] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 60,97]"
"144","2018-03-05","+103,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 103,00] <-- 4300 Erlöse 7% USt. [EUR 96,26], 3801 [EUR 6,74]"
"145","2018-03-05","-510,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 510,00] <-- 1600 Kasse [EUR 510,00]"
"146","2018-03-05","+2,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 2,00] <-- 4300 Erlöse 7% USt. [EUR 1,87], 3801 [EUR 0,13]"
"147","2018-03-05","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"0","2018-03-06","-19,17","9","7810","26401","mytaxi-Kartenzahlungen (Gebühr)","7810 Auftragsvermittlung myTaxi [EUR 16,11], 1406 [EUR 3,06] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 19,17]"
"0","2018-03-06","-47,00","0","2100","1800","Zurich Kfz-Versicherung B-IQ975 / Privatfahrzeug","2100 Privatentnahmen allgemein [EUR 47,00] <-- 1800 Bank [EUR 47,00]"
"0","2018-03-06","+200,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 200,00] <-- 1460 Geldtransit [EUR 200,00]"
"0","2018-03-06","+22,78","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 22,78] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 22,78]"
"0","2018-03-06","+12,11","0","1800","26401","myTaxi-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 12,11] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 12,11]"
"148","2018-03-06","+270,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 270,00] <-- 4300 Erlöse 7% USt. [EUR 252,34], 3801 [EUR 17,66]"
"149","2018-03-06","-200,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 200,00] <-- 1600 Kasse [EUR 200,00]"
"150","2018-03-06","+8,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 8,00] <-- 4300 Erlöse 7% USt. [EUR 7,48], 3801 [EUR 0,52]"
"151","2018-03-06","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"152","2018-03-06","-222,00","0","26401","1600","mytaxi-Kartenzahlungen (Debitor)","26401 Bargeldlose Zahlungen myTaxi [EUR 222,00] <-- 1600 Kasse [EUR 222,00]"
"0","2018-03-07","+24,02","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 24,02] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 24,02]"
"0","2018-03-07","-11,78","9","5400","1800","Kartenlesegerät / Sumup","5400 Wareneingang 19% Vorsteuer [EUR 9,90], 1406 [EUR 1,88] <-- 1800 Bank [EUR 11,78]"
"0","2018-03-07","6,99","9","5400","2100","USB-Ladegerät f. B-E4305 / Betriebsbedarf","5400 Wareneingang 19% Vorsteuer [EUR 5,87], 1406 [EUR 1,12] <-- 2100 Privatentnahmen allgemein [EUR 6,99]"
"0","2018-03-07","77,99","9","5400","2100","AUTO-VOX Dashcam f. B-E4305 / Betriebsbedarf","5400 Wareneingang 19% Vorsteuer [EUR 65,54], 1406 [EUR 12,45] <-- 2100 Privatentnahmen allgemein [EUR 77,99]"
"0","2018-03-07","-33,00","0","2100","1800","Strom Wohnung Lehrter Str. 8, 10557 Berlin","2100 Privatentnahmen allgemein [EUR 33,00] <-- 1800 Bank [EUR 33,00]"
"153","2018-03-07","+170,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 170,00] <-- 4300 Erlöse 7% USt. [EUR 158,88], 3801 [EUR 11,12]"
"154","2018-03-07","+3,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 3,00] <-- 4300 Erlöse 7% USt. [EUR 2,80], 3801 [EUR 0,20]"
"155","2018-03-07","-50,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]"
"0","2018-03-08","-396,74","0","2100","1800","Wohnungsmiete Lehrter Str. 8, 10557 Berlin","2100 Privatentnahmen allgemein [EUR 396,74] <-- 1800 Bank [EUR 396,74]"
"0","2018-03-08","+150,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 150,00] <-- 1460 Geldtransit [EUR 150,00]"
"0","2018-03-08","+23,34","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 23,34] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 23,34]"
"0","2018-03-08","20,49","0","5923","2100","Speicherkarte f. Dashcam / B-E4305","5923 Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers 19 % Vorsteuer und 19 % Umsatzsteuer [EUR 20,49] <-- 2100 Privatentnahmen allgemein [EUR 20,49]"
"0","2018-03-08","+203,43","0","1800","26401","myTaxi-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 203,43] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 203,43]"
"156","2018-03-08","+145,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 145,00] <-- 4300 Erlöse 7% USt. [EUR 135,51], 3801 [EUR 9,49]"
"157","2018-03-08","-150,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 150,00] <-- 1600 Kasse [EUR 150,00]"
"158","2018-03-08","+5,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 5,00] <-- 4300 Erlöse 7% USt. [EUR 4,67], 3801 [EUR 0,33]"
"159","2018-03-08","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"160","2018-03-08","-1,00","0","6800","1600","Porto","6800 Porto [EUR 1,00] <-- 1600 Kasse [EUR 1,00]"
"0","2018-03-09","+150,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 150,00] <-- 1460 Geldtransit [EUR 150,00]"
"161","2018-03-09","+238,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 238,00] <-- 4300 Erlöse 7% USt. [EUR 222,43], 3801 [EUR 15,57]"
"162","2018-03-09","-150,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 150,00] <-- 1600 Kasse [EUR 150,00]"
"163","2018-03-09","+9,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 9,00] <-- 4300 Erlöse 7% USt. [EUR 8,41], 3801 [EUR 0,59]"
"164","2018-03-09","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"165","2018-03-09","-15,00","9","5400","1600","Diesel","5400 Wareneingang 19% Vorsteuer [EUR 12,61], 1406 [EUR 2,39] <-- 1600 Kasse [EUR 15,00]"
"166","2018-03-09","-6,00","0","2280","1600","Arzneimittel","2280 Außergewöhnliche Belastungen [EUR 6,00] <-- 1600 Kasse [EUR 6,00]"
"0","2018-03-10","+150,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 150,00] <-- 1460 Geldtransit [EUR 150,00]"
"167","2018-03-10","+216,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 216,00] <-- 4300 Erlöse 7% USt. [EUR 201,87], 3801 [EUR 14,13]"
"168","2018-03-10","-150,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 150,00] <-- 1600 Kasse [EUR 150,00]"
"169","2018-03-10","+4,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 4,00] <-- 4300 Erlöse 7% USt. [EUR 3,74], 3801 [EUR 0,26]"
"170","2018-03-10","-50,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]"
"0","2018-03-11","+190,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 190,00] <-- 1460 Geldtransit [EUR 190,00]"
"0","2018-03-11","+200,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 200,00] <-- 1460 Geldtransit [EUR 200,00]"
"171","2018-03-11","+238,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 238,00] <-- 4300 Erlöse 7% USt. [EUR 222,43], 3801 [EUR 15,57]"
"172","2018-03-11","+152,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 152,00] <-- 4300 Erlöse 7% USt. [EUR 142,06], 3801 [EUR 9,94]"
"173","2018-03-11","-190,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 190,00] <-- 1600 Kasse [EUR 190,00]"
"174","2018-03-11","-200,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 200,00] <-- 1600 Kasse [EUR 200,00]"
"175","2018-03-11","+7,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 7,00] <-- 4300 Erlöse 7% USt. [EUR 6,54], 3801 [EUR 0,46]"
"176","2018-03-11","+3,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 3,00] <-- 4300 Erlöse 7% USt. [EUR 2,80], 3801 [EUR 0,20]"
"177","2018-03-11","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"178","2018-03-11","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"0","2018-03-12","-336,70","0","2100","1800","Kreditkarte Visa / Landesbank Berlin","2100 Privatentnahmen allgemein [EUR 336,70] <-- 1800 Bank [EUR 336,70]"
"0","2018-03-12","+34,00","0","1800","7685","Kfz-Steuer Gutschrift / B-PA9063 (verkauft)","1800 Bank [EUR 34,00] <-- 7685 Kfz-Steuer [EUR 34,00]"
"179","2018-03-12","+148,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 148,00] <-- 4300 Erlöse 7% USt. [EUR 138,32], 3801 [EUR 9,68]"
"180","2018-03-12","+4,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 4,00] <-- 4300 Erlöse 7% USt. [EUR 3,74], 3801 [EUR 0,26]"
"181","2018-03-12","-40,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 40,00] <-- 1600 Kasse [EUR 40,00]"
"182","2018-03-12","-157,00","9","5400","1600","Hale NFC USB-Reader, Fahrerkarte, Unternehmerkarte","5400 Wareneingang 19% Vorsteuer [EUR 131,93], 1406 [EUR 25,07] <-- 1600 Kasse [EUR 157,00]"
"0","2018-03-13","-31,02","9","7810","26401","mytaxi-Kartenzahlungen (Gebühr)","7810 Auftragsvermittlung myTaxi [EUR 26,07], 1406 [EUR 4,95] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 31,02]"
"0","2018-03-13","-3,90","9","5906","1800","Vodafone Mobilfunk","5906 Fremdleistungen 19% Vorsteuer [EUR 3,28], 1406 [EUR 0,62] <-- 1800 Bank [EUR 3,90]"
"0","2018-03-13","-40,85","9","5906","1800","Vodafone Mobilfunk","5906 Fremdleistungen 19% Vorsteuer [EUR 34,33], 1406 [EUR 6,52] <-- 1800 Bank [EUR 40,85]"
"0","2018-03-13","+100,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 100,00] <-- 1460 Geldtransit [EUR 100,00]"
"0","2018-03-13","+110,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 110,00] <-- 1460 Geldtransit [EUR 110,00]"
"0","2018-03-13","+591,43","9","1800","4400","Programmierung BTV Webservices / IVK","1800 Bank [EUR 591,43] <-- 4400 Erlo?se 19% USt. [EUR 497,00], 3806 [EUR 94,43]"
"183","2018-03-13","+24,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 24,00] <-- 4300 Erlöse 7% USt. [EUR 22,43], 3801 [EUR 1,57]"
"184","2018-03-13","+148,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 148,00] <-- 4300 Erlöse 7% USt. [EUR 138,32], 3801 [EUR 9,68]"
"185","2018-03-13","-100,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 100,00] <-- 1600 Kasse [EUR 100,00]"
"186","2018-03-13","-110,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 110,00] <-- 1600 Kasse [EUR 110,00]"
"187","2018-03-13","+1,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 1,00] <-- 4300 Erlöse 7% USt. [EUR 0,93], 3801 [EUR 0,07]"
"188","2018-03-13","+5,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 5,00] <-- 4300 Erlöse 7% USt. [EUR 4,67], 3801 [EUR 0,33]"
"189","2018-03-13","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"190","2018-03-13","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"191","2018-03-13","-249,00","0","26401","1600","mytaxi-Kartenzahlungen (Debitor)","26401 Bargeldlose Zahlungen myTaxi [EUR 249,00] <-- 1600 Kasse [EUR 249,00]"
"0","2018-03-14","9,99","0","6495","2100","Photoshop / Adobe","6495 Wartungskosten für Hard- und Software [EUR 9,99] <-- 2100 Privatentnahmen allgemein [EUR 9,99]"
"0","2018-03-14","+100,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 100,00] <-- 1460 Geldtransit [EUR 100,00]"
"0","2018-03-14","+32,09","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 32,09] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 32,09]"
"192","2018-03-14","+131,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 131,00] <-- 4300 Erlöse 7% USt. [EUR 122,43], 3801 [EUR 8,57]"
"193","2018-03-14","-100,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 100,00] <-- 1600 Kasse [EUR 100,00]"
"194","2018-03-14","+5,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 5,00] <-- 4300 Erlöse 7% USt. [EUR 4,67], 3801 [EUR 0,33]"
"195","2018-03-14","-60,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 60,00] <-- 1600 Kasse [EUR 60,00]"
"0","2018-03-15","-31,52","0","2100","1800","Benzin, privat / TotalCard","2100 Privatentnahmen allgemein [EUR 31,52] <-- 1800 Bank [EUR 31,52]"
"0","2018-03-15","+27,72","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 27,72] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 27,72]"
"0","2018-03-15","-51,93","9","5400","1800","Diesel / TotalCard","5400 Wareneingang 19% Vorsteuer [EUR 42,06], 1406 [EUR 9,87] <-- 1800 Bank [EUR 51,93]"
"0","2018-03-15","-214,62","9","5400","1800","Diesel / TotalCard","5400 Wareneingang 19% Vorsteuer [EUR 173,84], 1406 [EUR 40,78] <-- 1800 Bank [EUR 214,62]"
"0","2018-03-15","+218,38","0","1800","26401","myTaxi-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 218,38] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 218,38]"
"0","2018-03-15","-10,11","9","5906","1800","Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 8,19], 1406 [EUR 1,92] <-- 1800 Bank [EUR 10,11]"
"196","2018-03-15","+217,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 217,00] <-- 4300 Erlöse 7% USt. [EUR 202,80], 3801 [EUR 14,20]"
"197","2018-03-15","+8,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 8,00] <-- 4300 Erlöse 7% USt. [EUR 7,48], 3801 [EUR 0,52]"
"198","2018-03-15","-20,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 20,00] <-- 1600 Kasse [EUR 20,00]"
"0","2018-03-16","+120,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 120,00] <-- 1460 Geldtransit [EUR 120,00]"
"199","2018-03-16","+310,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 310,00] <-- 4300 Erlöse 7% USt. [EUR 289,72], 3801 [EUR 20,28]"
"200","2018-03-16","-120,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 120,00] <-- 1600 Kasse [EUR 120,00]"
"201","2018-03-16","+12,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 12,00] <-- 4300 Erlöse 7% USt. [EUR 11,21], 3801 [EUR 0,79]"
"202","2018-03-16","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"203","2018-03-17","+136,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 136,00] <-- 4300 Erlöse 7% USt. [EUR 127,10], 3801 [EUR 8,90]"
"204","2018-03-17","-50,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]"
"205","2018-03-17","+5,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 5,00] <-- 4300 Erlöse 7% USt. [EUR 4,67], 3801 [EUR 0,33]"
"206","2018-03-17","-24,00","0","2100","1600","Privatzahlung / Einkauf","2100 Privatentnahmen allgemein [EUR 24,00] <-- 1600 Kasse [EUR 24,00]"
"207","2018-03-17","-2,00","0","6800","1600","Porto","6800 Porto [EUR 2,00] <-- 1600 Kasse [EUR 2,00]"
"0","2018-03-18","+350,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 350,00] <-- 1460 Geldtransit [EUR 350,00]"
"208","2018-03-18","+225,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 225,00] <-- 4300 Erlöse 7% USt. [EUR 210,28], 3801 [EUR 14,72]"
"209","2018-03-18","-350,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 350,00] <-- 1600 Kasse [EUR 350,00]"
"210","2018-03-18","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"211","2018-03-18","+4,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 4,00] <-- 4300 Erlöse 7% USt. [EUR 3,74], 3801 [EUR 0,26]"
"0","2018-03-19","-380,29","0","2100","1800","Kreditkarte Visa / Landesbank Berlin","2100 Privatentnahmen allgemein [EUR 380,29] <-- 1800 Bank [EUR 380,29]"
"0","2018-03-19","+71,28","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 71,28] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 71,28]"
"212","2018-03-19","+149,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 149,00] <-- 4300 Erlöse 7% USt. [EUR 139,25], 3801 [EUR 9,75]"
"213","2018-03-19","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"214","2018-03-19","+3,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 3,00] <-- 4300 Erlöse 7% USt. [EUR 2,80], 3801 [EUR 0,20]"
"215","2018-03-19","-54,00","0","2100","1600","Privatzahlung / Einkauf","2100 Privatentnahmen allgemein [EUR 54,00] <-- 1600 Kasse [EUR 54,00]"
"0","2018-03-20","-23,29","9","7810","26401","mytaxi-Kartenzahlungen (Gebühr)","7810 Auftragsvermittlung myTaxi [EUR 19,57], 1406 [EUR 3,72] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 23,29]"
"0","2018-03-20","-21,62","0","6520","1800","Taxi Kfz-Versicherung B-E4305 / Zurich","6520 Kfz-Versicherungen [EUR 21,62] <-- 1800 Bank [EUR 21,62]"
"0","2018-03-20","+29,17","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 29,17] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 29,17]"
"216","2018-03-20","+90,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 90,00] <-- 4300 Erlöse 7% USt. [EUR 84,11], 3801 [EUR 5,89]"
"217","2018-03-20","-165,00","0","26401","1600","mytaxi-Kartenzahlungen (Debitor)","26401 Bargeldlose Zahlungen myTaxi [EUR 165,00] <-- 1600 Kasse [EUR 165,00]"
"218","2018-03-20","-50,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]"
"219","2018-03-20","+1,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 1,00] <-- 4300 Erlöse 7% USt. [EUR 0,93], 3801 [EUR 0,07]"
"220","2018-03-20","-5,00","9","5400","1600","Betriebsbedarf","5400 Wareneingang 19% Vorsteuer [EUR 4,20], 1406 [EUR 0,80] <-- 1600 Kasse [EUR 5,00]"
"0","2018-03-21","+30,44","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 30,44] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 30,44]"
"221","2018-03-21","+198,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 198,00] <-- 4300 Erlöse 7% USt. [EUR 185,05], 3801 [EUR 12,95]"
"222","2018-03-21","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"223","2018-03-21","+6,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 6,00] <-- 4300 Erlöse 7% USt. [EUR 5,61], 3801 [EUR 0,39]"
"0","2018-03-22","+150,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 150,00] <-- 1460 Geldtransit [EUR 150,00]"
"0","2018-03-22","+150,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 150,00] <-- 1460 Geldtransit [EUR 150,00]"
"0","2018-03-22","+57,12","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 57,12] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 57,12]"
"0","2018-03-22","+142,51","0","1800","26401","myTaxi-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 142,51] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 142,51]"
"224","2018-03-22","+247,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 247,00] <-- 4300 Erlöse 7% USt. [EUR 230,84], 3801 [EUR 16,16]"
"225","2018-03-22","-150,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 150,00] <-- 1600 Kasse [EUR 150,00]"
"226","2018-03-22","-150,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 150,00] <-- 1600 Kasse [EUR 150,00]"
"227","2018-03-22","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"228","2018-03-22","+4,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 4,00] <-- 4300 Erlöse 7% USt. [EUR 3,74], 3801 [EUR 0,26]"
"229","2018-03-22","-9,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 9,00] <-- 1600 Kasse [EUR 9,00]"
"0","2018-03-23","+24,31","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 24,31] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 24,31]"
"230","2018-03-23","+231,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 231,00] <-- 4300 Erlöse 7% USt. [EUR 215,89], 3801 [EUR 15,11]"
"231","2018-03-23","-80,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 80,00] <-- 1600 Kasse [EUR 80,00]"
"232","2018-03-23","+4,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 4,00] <-- 4300 Erlöse 7% USt. [EUR 3,74], 3801 [EUR 0,26]"
"233","2018-03-23","-6,00","8","4300","1600","Fehlfahrt","4300 Erlöse 7% USt. [EUR 5,61], 3801 [EUR 0,39] <-- 1600 Kasse [EUR 6,00]"
"234","2018-03-25","+152,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 152,00] <-- 4300 Erlöse 7% USt. [EUR 142,06], 3801 [EUR 9,94]"
"235","2018-03-25","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"236","2018-03-25","+4,00","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 4,00] <-- 4300 Erlöse 7% USt. [EUR 3,74], 3801 [EUR 0,26]"
"0","2018-03-26","+100,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 100,00] <-- 1460 Geldtransit [EUR 100,00]"
"0","2018-03-26","+13,23","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 13,23] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 13,23]"
"237","2018-03-26","+106,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 106,00] <-- 4300 Erlöse 7% USt. [EUR 99,07], 3801 [EUR 6,93]"
"238","2018-03-26","-100,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 100,00] <-- 1600 Kasse [EUR 100,00]"
